Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis"
505 E Washington Rd El Nido 2024 Dairy AR,8,391,392,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988671642,-120.483451355474,2025 Washington Rd El Nido 95317 Merced,Destination Address,Farmer,37.113114606142,-120.537649311777,,2024-08-20,False,,,,,10000000.0,1538,692
505 E Washington Rd El Nido 2024 Dairy AR,9,393,394,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988671642,-120.483451355474,2025 Washington Rd El Nido 95317 Merced,Destination Address,Farmer,37.113114606142,-120.537649311777,,2024-08-20,False,,,,,5881590.0,905,407
724 Ruble Rd Crows Landing 2024 Dairy AR,2,49,50,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,2024-01-02,2024-01-19,False,,,,,900000.0,138,62
724 Ruble Rd Crows Landing 2024 Dairy AR,3,51,52,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,2024-02-02,2024-02-09,False,,,,,480000.0,74,33
724 Ruble Rd Crows Landing 2024 Dairy AR,4,53,54,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,2024-04-12,2024-04-15,False,,,,,660000.0,102,46
724 Ruble Rd Crows Landing 2024 Dairy AR,5,55,56,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,,2024-05-07,False,,,,,120000.0,18,8
724 Ruble Rd Crows Landing 2024 Dairy AR,6,57,58,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,,2024-06-13,False,,,,,120000.0,18,8
724 Ruble Rd Crows Landing 2024 Dairy AR,7,59,60,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,,2024-06-27,False,,,,,120000.0,18,8
724 Ruble Rd Crows Landing 2024 Dairy AR,8,61,62,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,,2024-07-10,False,,,,,120000.0,18,8
724 Ruble Rd Crows Landing 2024 Dairy AR,9,63,64,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-016,Destination Assessor Parcel Number,Blank,37.482806,-120.995625,,2024-07-24,False,,,,,120000.0,18,8
