Latitude,Longitude,Operator/Agency,Facility Name,Facility Address,County,Reg Measure,WDID,Place ID,Amount,Units [Tons] [Cu Yd],Hauled To,Amount,Units [Tons] [Cu Yd],Dates,Dates
33.84529,-117.847,John Bidart,Pastime Lakes Dairy,34242 Ramona Expressway,Riverside,395147,10 335706001,247758,"16,665.00",Ton,Riverside County,"2,925.00",Ton,7/25/23,7/28/23
33.85025,-117.606656,John Bidart,Pastime Lakes Dairy,34243 Ramona Expressway,Riverside,395148,11 335706001,247758,"16,665.00",Ton,Riverside County,360,Ton,7/21/23,7/21/23
33.8426,-117.11422,John Bidart,Pastime Lakes Dairy,34244 Ramona Expressway,Riverside,395149,12 335706001,247758,"16,665.00",Ton,Riverside County,"2,910.00",Ton,9/18/23,9/20/23
32.97474,-115.32379,Josh De Jong,Ramona Dairy,2451 Ramona Expressway,Riverside,377034,8 335695001,251581,"15,385.00",Ton,*Imperial County (Assumed Lat. & Long from 2019 Annual Report),"15,395.00",Ton,1/1/23,12/31/23
32.97474,-115.32379,Josh De Jong,Ramona Dairy #2,581 North Warren Road,Riverside,394537,8 335705001,239820,"8,660.00",Ton,*Imperial County (Assumed Lat. & Long from 2019 Annual Report),"8,660.00",Ton,1/1/23,12/31/23
33.816454,-116.978375,Ron & Julie Haringa,Riverbed Dairy - 38980 Record,38980 Record Road,Riverside,382034,8 335523001,630490,"13,170.00",Ton,Riverside County,"5,580.00",Ton,5/16/23,5/20/23
33.8151354,-116.9873182,Ron & Julie Haringa,Riverbed Dairy - 38980 Record,38981 Record Road,Riverside,382035,9 335523001,630490,"13,170.00",Ton,Riverside County,"1,350.00",Ton,7/21/23,7/28/23
33.4126,-117.3329,Ron & Julie Haringa,Riverbed Dairy - 38980 Record,38982 Record Road,Riverside,382036,10 335523001,630490,"13,170.00",Ton,Riverside County,"2,110.00",Ton,9/4/23,9/9/23
33.3514,-117.3948,Ron & Julie Haringa,Riverbed Dairy - 38980 Record,38983 Record Road,Riverside,382037,11 335523001,630490,"13,170.00",Ton,Riverside County,"1,280.00",Ton,10/22/23,10/25/23
33.8217136,-116.9944529,Ron & Julie Haringa,Riverbed Dairy - 38980 Record,38984 Record Road,Riverside,382038,12 335523001,630490,"13,170.00",Ton,Riverside County,"2,850.00",Ton,11/14/23,11/18/23
34.002655,-117.616048,Egbert (Amos) DeGroot,SD Farms II,7220 Chino Avenue,San Bernardino,350816,8 365965001,226592,"11,800.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),"1,525.00",Ton,2/1/23,2/12/23
34.002655,-117.616048,Egbert (Amos) DeGroot,SD Farms II,7220 Chino Avenue,San Bernardino,350816,8 365965001,226592,"11,800.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),825,Ton,1/15/23,2/23/23
34.002655,-117.616048,Egbert (Amos) DeGroot,SD Farms II,7221 Chino Avenue,San Bernardino,350817,9 365965001,226592,"11,800.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),"1,025.00",Ton,4/21/23,4/27/23
34.002655,-117.616048,Egbert (Amos) DeGroot,SD Farms II,7222 Chino Avenue,San Bernardino,350818,10 365965001,226592,"11,800.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),"2,975.00",Ton,5/20/23,6/4/23
34.002655,-117.616048,Egbert (Amos) DeGroot,SD Farms II,7223 Chino Avenue,San Bernardino,350819,11 365965001,226592,"11,800.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),"2,500.00",Ton,8/1/23,8/20/23
33.984343,-117.649658,Egbert (Amos) DeGroot,SD Farms II,7224 Chino Avenue,San Bernardino,350820,12 365965001,226592,"11,800.00",Ton,San Bernardino County,"1,250.00",Ton,9/3/23,12/11/23
34.00587,-117.646891,Egbert (Amos) DeGroot,SD Farms II,7225 Chino Avenue,San Bernardino,350821,13 365965001,226592,"11,800.00",Ton,San Bernardino County,450,Ton,5/18/23,12/11/23
34.002655,-117.616048,Egbert (Amos) DeGroot,SD Farms II-2,13159 Euclid Avenue,San Bernardino,399408,8 366018001,208649,"3,075.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),"3,075.00",Ton,8/10/23,8/30/23
34.002655,-117.616048,Dickie Vander Meulen,Tiva Dairy,7587 Edison Avenue,San Bernardino,429298,8 366036001,247791,"6,750.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),"4,550.00",Cubic Yards,6/10/23,6/20/23
34.002655,-117.616048,Dickie Vander Meulen,Tiva Dairy,7587 Edison Avenue,San Bernardino,429298,8 366036001,247791,"6,750.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),"1,625.00",Cubic Yards,10/16/23,10/21/23
34.002655,-117.616048,Dickie Vander Meulen,Tiva Dairy,7587 Edison Avenue,San Bernardino,429298,8 366036001,247791,"6,750.00",Ton,*Composting Facility: Kelloggs Garden Product (Assumed Lat. & Long),575,Cubic Yards,11/14/23,11/14/23
33.385819,-117.070301,William Koot Dairy - Holland,William Koot,32309 Holland Road,Riverside,407273,8 335710001,256996,"4,500.00",Ton,Riverside County,"3,000.00",Ton,10/14/23,11/25/23
33.394411,-117.064305,William Koot Dairy - Holland,William Koot,32309 Holland Road,Riverside,407273,8 335710001,256996,"4,500.00",Ton,Riverside County,150,Ton,10/16/23,11/16/23
