Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis",origin_dest_miles
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",6,43,44,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-023-015,Destination Assessor Parcel Number,Blank,38.080564,-120.547528,,2024-04-11,False,,,,,,300000.0,0,30,50.11775245609011
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",8,47,48,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-023-015,Destination Assessor Parcel Number,Blank,38.080564,-120.547528,,2024-05-27,False,,,,,,240000.0,0,24,50.11775245609011
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",9,49,50,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-012-015,Destination Assessor Parcel Number,Blank,38.092463,-120.485064,,2024-05-31,False,,,,,,525000.0,0,52,52.399766580191226
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",12,55,56,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-023-015,Destination Assessor Parcel Number,Blank,38.080564,-120.547528,,2024-07-16,False,,,,,,210000.0,0,21,50.11775245609011
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",13,57,58,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-012-015,Destination Assessor Parcel Number,Blank,38.092463,-120.485064,,2024-07-25,False,,,,,,630000.0,0,63,52.399766580191226
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",16,63,64,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-023-015,Destination Assessor Parcel Number,Blank,38.080564,-120.547528,,2024-08-17,False,,,,,,225000.0,0,22,50.11775245609011
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",17,65,66,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-012-015,Destination Assessor Parcel Number,Blank,38.092463,-120.485064,,2024-08-23,False,,,,,,490000.0,0,49,52.399766580191226
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",20,71,72,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-023-015,Destination Assessor Parcel Number,Blank,38.080564,-120.547528,,2024-09-06,False,,,,,,225000.0,0,22,50.11775245609011
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",21,73,74,Machado Dairy,7413 S. Mitchell Rd. Turlock 95380,37.424464597099,-120.941026742077,057-012-015,Destination Assessor Parcel Number,Blank,38.092463,-120.485064,,2024-09-11,False,,,,,,490000.0,0,49,52.399766580191226
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",24,79,80,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,37.424464597099,-120.941026742077,057-023-015,Destination Assessor Parcel Number,Blank,38.080564,-120.547528,,2024-10-24,False,,,,,,225000.0,0,22,50.11775245609011
