region,template,parameter_name,page_number,min_page,x0,y0,x1,y1,find_by,page_search_text,row_search_text,separator,item_order,data_type
2,tier_2,Total Dry Manure Generated P (lbs),-1,1,NA,NA,NA,NA,text,Total Dry Manure Generated P:,,space,0,numeric
2,tier_2,Total Dry Manure Generated K (lbs),-1,1,NA,NA,NA,NA,text,Total Dry Manure Generated K:,,space,0,numeric
2,tier_2,Total Dry Manure Generated Salt (lbs),-1,1,NA,NA,NA,NA,text,Total Dry Manure Generated Salt:,,space,0,numeric
2,tier_2,Total Process Wastewater Generated (gals),-1,1,NA,NA,NA,NA,text,Total Process Wastewater Generated:,,space,0,numeric
2,tier_2,Total Process Wastewater Generated N (lbs),-1,1,NA,NA,NA,NA,text,Total Process Wastewater Generated N:,,space,0,numeric
2,tier_2,Total Process Wastewater Generated P (lbs),-1,1,NA,NA,NA,NA,text,Total Process Wastewater Generated P:,,space,0,numeric
2,tier_2,Total Process Wastewater Generated K (lbs),-1,1,NA,NA,NA,NA,text,Total Process Wastewater Generated K:,,space,0,numeric
2,tier_2,Total Process Wastewater Generated Salt (lbs),-1,1,NA,NA,NA,NA,text,Total Process Wastewater Generated Salt:,,space,0,numeric
2,tier_2,Total Exports N (lbs),-1,2,NA,NA,NA,NA,text,Total Exports N:,,space,0,numeric
2,tier_2,Total Exports P (lbs),-1,2,NA,NA,NA,NA,text,Total Exports P:,,space,0,numeric
2,tier_2,Total Exports K (lbs),-1,2,NA,NA,NA,NA,text,Total Exports K:,,space,0,numeric
2,tier_2,Total Exports Salt (lbs),-1,2,NA,NA,NA,NA,text,Total Exports Salt:,,space,0,numeric
2,tier_2,Applied N Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,Applied N Dry Manure:,,space,0,numeric
2,tier_2,Applied P Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,Applied P Dry Manure:,,space,0,numeric
2,tier_2,Applied K Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,Applied K Dry Manure:,,space,0,numeric
2,tier_2,Applied Salt Dry Manure (lbs),-1,6,NA,NA,NA,NA,text,Applied Salt Dry Manure:,,space,0,numeric
2,tier_2,Applied Process Wastewater N (lbs),-1,6,NA,NA,NA,NA,text,Applied Process Wastewater N:,,space,0,numeric
2,tier_2,Applied Process Wastewater P (lbs),-1,6,NA,NA,NA,NA,text,Applied Process Wastewater P:,,space,0,numeric
2,tier_2,Applied Process Wastewater K (lbs),-1,6,NA,NA,NA,NA,text,Applied Process Wastewater K:,,space,0,numeric
2,tier_2,Applied Process Wastewater Salt (lbs),-1,6,NA,NA,NA,NA,text,Applied Process Wastewater Salt:,,space,0,numeric
2,tier_2,Applied to Removed Ratio N,-1,6,NA,NA,NA,NA,text,Applied to Removed Ratio N:,,space,0,numeric
2,tier_2,Applied to Removed Ratio P,-1,6,NA,NA,NA,NA,text,Applied to Removed Ratio P:,,space,0,numeric
2,tier_2,Applied to Removed Ratio K,-1,6,NA,NA,NA,NA,text,Applied to Removed Ratio K:,,space,0,numeric
2,tier_2,Applied to Removed Ratio Salt,-1,6,NA,NA,NA,NA,text,Applied to Removed Ratio Salt:,,space,0,numeric
