region,template,parameter_key,page_search_text,search_direction,row_search_text,column_search_text,item_order,ignore_before,ignore_after,value_pattern
5,manifest_R5_2007,operator_name,OPERATOR INFORMATION,right,Name of Operator:,NA,NA,NA,NA,NA
5,manifest_R5_2007,hauling_company,OPERATOR INFORMATION,right,Name of Hauling Company/Person:,NA,NA,NA,NA,NA
5,manifest_R5_2007,destination_address,OPERATOR INFORMATION,right,Destination Address,NA,NA,NA,NA,NA
5,manifest_R5_2007,manure_amount,MANURE AMOUNT HAULED,right,Manure:,NA,NA,NA,NA,\d+\.?\d*
5,manifest_R5_2007,manure_solids_content,MANURE AMOUNT HAULED,right,Manure Solids Content:,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,dairy_name,2023 ANNUAL REPORT,below,Prepared for,NA,NA,NA,NA,NA
5,provost_pritchard,dairy_address,2023 ANNUAL REPORT,below,Prepared for,NA,NA,NA,NA,NA
5,provost_pritchard,max_milk_cows,Attachment A,table,Milk Cows,Maximum,NA,NA,NA,\d+
5,provost_pritchard,max_dry_cows,Attachment A,table,Dry Cows,Maximum,NA,NA,NA,\d+
5,provost_pritchard,max_bred_heifers,Attachment A,table,Bred Heifers,Maximum,NA,NA,NA,\d+
5,provost_pritchard,max_heifers,Attachment A,table,Heifers,Maximum,NA,NA,NA,\d+
5,provost_pritchard,max_calves_4_6_mo,Attachment A,table,Calves 4-6 Months,Maximum,NA,NA,NA,\d+
5,provost_pritchard,max_calves_0_3_mo,Attachment A,table,Calves 0-3 Months,Maximum,NA,NA,NA,\d+
5,provost_pritchard,avg_milk_cows,Attachment A,table,Milk Cows,Average,NA,NA,NA,\d+
5,provost_pritchard,avg_dry_cows,Attachment A,table,Dry Cows,Average,NA,NA,NA,\d+
5,provost_pritchard,avg_bred_heifers,Attachment A,table,Bred Heifers,Average,NA,NA,NA,\d+
5,provost_pritchard,avg_heifers,Attachment A,table,Heifers,Average,NA,NA,NA,\d+
5,provost_pritchard,avg_calves_4_6_mo,Attachment A,table,Calves 4-6 Months,Average,NA,NA,NA,\d+
5,provost_pritchard,avg_calves_0_3_mo,Attachment A,table,Calves 0-3 Months,Average,NA,NA,NA,\d+
5,provost_pritchard,avg_other,Attachment A,table,Other,Average,NA,NA,NA,\d+
5,provost_pritchard,total_manure_excreted_tons,Attachment A,right,Total Manure Generated (tons),NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,avg_milk_production_lb_per_cow_per_day,Attachment A,right,Average Milk Production,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_dry_manure_gen_n_after_ammonia_losses_lbs,Attachment A,right,Total Nitrogen After Ammonia Losses,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_dry_manure_gen_n_lbs,Attachment A,right,Total Nitrogen,NA,NA,NA,NA,\d+\.?\d*
5,provost_pritchard,total_dry_manure_gen_p_lbs,Attachment A,right,Total Phosphorus,NA,NA,NA,NA,\d+\.?\d*
