zip,lat,lng,city,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all
92311,34.97204,-117.0101,Barstow,33982,30.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92313,34.03142,-117.31373,Grand Terrace,13069,1396,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92314,34.2576,-116.80075,Big Bear City,10410,109.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92315,34.22011,-116.95301,Big Bear Lake,5215,68.5,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92316,34.0576,-117.39076,Bloomington,31909,1070,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92317,34.24507,-117.20874,Blue Jay,708,170.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92320,33.9874,-117.05024,Calimesa,10680,295.6,6065,Riverside,"{""06065"": 100}",Riverside,6065
92321,34.24748,-117.14694,Cedar Glen,828,44.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92322,34.25419,-117.32259,Cedarpines Park,605,71,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92324,34.03398,-117.29008,Colton,57049,793.1,6071,San Bernardino,"{""06071"": 68.44, ""06065"": 31.56}",San Bernardino|Riverside,06071|06065
92325,34.24554,-117.27506,Crestline,9689,428.1,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92327,34.86632,-116.84347,Daggett,706,11.1,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92328,36.39482,-117.02718,Death Valley,872,0.2,6027,Inyo,"{""06027"": 100}",Inyo,6027
92332,34.90728,-115.36409,Essex,106,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92333,34.26951,-116.96277,Fawnskin,403,15.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92335,34.08733,-117.46519,Fontana,95295,2107.6,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92336,34.13686,-117.46033,Fontana,103393,2007.6,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92337,34.04967,-117.47145,Fontana,36944,1041.3,6071,San Bernardino,"{""06071"": 99.88, ""06065"": 0.12}",San Bernardino|Riverside,06071|06065
92338,34.78773,-116.25117,Ludlow,0,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92339,34.08189,-116.83838,Forest Falls,1277,6.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92341,34.24009,-117.06798,Green Valley Lake,299,11.5,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92342,34.76078,-117.33795,Helendale,6677,26.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92344,34.39176,-117.40657,Hesperia,20671,212.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92345,34.36415,-117.30984,Hesperia,87906,343.3,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92346,34.12629,-117.1792,Highland,56956,811,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92347,34.95003,-117.25802,Hinkley,630,1.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92350,34.05296,-117.2617,Loma Linda,394,2279.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92352,34.26824,-117.18486,Lake Arrowhead,6496,217.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92354,34.04933,-117.25119,Loma Linda,23076,1789.3,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92356,34.49633,-116.89265,Lucerne Valley,6665,7,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92358,34.24624,-117.56762,Lytle Creek,712,3.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92359,34.08296,-117.07026,Mentone,9394,188.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92363,34.70863,-114.57562,Needles,5392,5.6,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92364,35.35678,-115.43741,Nipton,15,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92365,34.88843,-116.54129,Newberry Springs,2514,2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92368,34.65508,-117.30893,Oro Grande,925,7.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92369,34.13941,-117.21966,Patton,3305,3431.3,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92371,34.43837,-117.54266,Phelan,21678,63.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92372,34.45097,-117.62859,Pinon Hills,4854,72.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92373,34.00648,-117.15351,Redlands,34816,337.4,6071,San Bernardino,"{""06071"": 58.04, ""06065"": 41.96}",San Bernardino|Riverside,06071|06065
92374,34.06738,-117.17482,Redlands,44287,952.7,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92376,34.11053,-117.37997,Rialto,84161,2438.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92377,34.15234,-117.40412,Rialto,21685,1163.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92378,34.23206,-117.22483,Rimforest,445,214.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92382,34.20604,-117.11276,Running Springs,5301,100.2,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92384,35.98255,-116.1505,Shoshone,18,0,6027,Inyo,"{""06027"": 100}",Inyo,6027
92385,34.21345,-117.23057,Skyforest,186,7.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92386,34.23702,-116.82523,Sugarloaf,2037,342.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92389,35.82902,-116.24813,Tecopa,169,1.5,6027,Inyo,"{""06027"": 100}",Inyo,6027
92391,34.23958,-117.23665,Twin Peaks,2192,427.7,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92392,34.479,-117.40884,Victorville,64352,666.3,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92394,34.563,-117.3542,Victorville,39230,472.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92395,34.50032,-117.29479,Victorville,49323,1127.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92397,34.36212,-117.69136,Wrightwood,5699,46.2,6037,Los Angeles,"{""06037"": 66.3, ""06071"": 33.7}",Los Angeles|San Bernardino,06037|06071
92398,34.97178,-116.83808,Yermo,1657,6.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92399,34.04469,-117.004,Yucaipa,55029,396.1,6071,San Bernardino,"{""06071"": 99.02, ""06065"": 0.98}",San Bernardino|Riverside,06071|06065
92401,34.10586,-117.29188,San Bernardino,2283,1296.1,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92404,34.17862,-117.23891,San Bernardino,63067,770.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92405,34.14578,-117.30225,San Bernardino,31207,2404.8,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92407,34.22394,-117.38839,San Bernardino,69191,327.1,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92408,34.0845,-117.2653,San Bernardino,13880,511.3,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92410,34.10655,-117.29574,San Bernardino,48286,2263.9,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92411,34.12214,-117.32291,San Bernardino,27157,2228.4,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92415,34.10506,-117.28685,San Bernardino,0,0,6071,San Bernardino,"{""06071"": 100}",San Bernardino,6071
92501,33.99496,-117.37367,Riverside,22079,1511.9,6065,Riverside,"{""06065"": 99.79, ""06071"": 0.21}",Riverside|San Bernardino,06065|06071
92503,33.88308,-117.45222,Riverside,88242,992.5,6065,Riverside,"{""06065"": 100}",Riverside,6065
92504,33.90607,-117.39854,Riverside,57085,971.8,6065,Riverside,"{""06065"": 100}",Riverside,6065
92505,33.92663,-117.4928,Riverside,53063,2013.2,6065,Riverside,"{""06065"": 100}",Riverside,6065
